pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
253,621016,"Cuas, Jose",687,36.8,0.169,0.102,0.243,0.271,0.277,0.289,0.18,10,59,89.8,10.7,2669,82.1,82.07,47,112,141,0,6.37,106,155,116,147,302,323,297
247,605288,"Houser, Adrian",1848,13.4,0.13,0.074,0.143,0.204,0.163,0.192,0.165,7,54,84.3,17.7,2265,85,85.46,27,92,155,0.5,6.59,108,152,119,146,297,318,294
247,573204,"Thielbar, Caleb",996,24.8,0.176,0,0.243,0.176,0.208,0.205,0.152,9,51,80.8,27.5,2368,81.3,81,36,125,122,-0.3,6.16,112,158,113,150,297,327,292
246,642547,"Peralta, Freddy",1353,18.2,0.196,0.176,0.205,0.373,0.283,0.271,0.201,10,51,86.2,16.8,2126,80.3,81.28,35,114,132,1,7.11,110,153,121,146,297,319,293
245,502202,"Boxberger, Brad",1090,22.5,0.289,0.184,0.3,0.474,0.338,0.274,0.215,11,38,79.8,26,2461,87.3,86.42,22,93,152,-0.9,5.54,110,150,117,145,297,320,298
241,656257,"Brigham, Jeff",419,57.5,0.263,0.123,0.4,0.386,0.325,0.304,0.242,15,57,85.8,21.4,2831,82.2,81.55,31,105,136,-0.6,6.03,111,153,117,149,298,314,291
240,641816,"Mahle, Tyler",2101,11.4,0.304,0.109,0.406,0.413,0.334,0.345,0.287,14,46,89.2,13.9,2497,83.9,84.6,33,97,143,0.7,6.56,110,151,119,145,295,320,288
240,660853,"De Los Santos, Enyel",845,28.4,0.174,0.116,0.255,0.29,0.196,0.205,0.195,12,69,86.2,6.1,2143,83.1,81.44,44,118,122,-1.7,6,109,151,120,147,297,314,289
238,642397,"Soto, Gregory",1102,21.6,0.262,0.167,0.357,0.429,0.332,0.345,0.228,11,42,85.4,10.1,2385,89.3,90.21,38,105,133,0.9,6.73,107,150,112,144,302,329,291
237,606625,"Moronta, Reyes",641,37,0.213,0.021,0.4,0.234,0.226,0.167,0.118,10,47,78.6,38.4,2491,82.1,82.03,40,86,151,-0.1,6.31,110,154,122,148,302,318,291
237,681806,"Wantz, Andrew",831,28.5,0.189,0.132,0.222,0.321,0.244,0.235,0.177,10,53,83.5,22.9,2430,81.3,80.75,36,101,136,-0.5,6.03,110,152,115,150,296,322,292
236,641582,"Foster, Matt",768,30.7,0.271,0.125,0.324,0.396,0.327,0.33,0.258,13,48,81.9,8.6,2298,85.8,85.85,31,118,118,0.1,6.11,107,148,114,144,299,324,295
234,693821,"Elder, Bryce",873,26.8,0.205,0.045,0.31,0.25,0.249,0.266,0.202,9,44,87.4,15.7,2413,82.4,81.79,37,101,133,-0.6,5.81,115,154,125,147,311,325,299
234,650633,"King, Michael",776,30.2,0.13,0.074,0.212,0.204,0.18,0.193,0.161,7,54,78.8,21.4,2785,82.3,82.05,42,102,132,-0.3,6.3,108,152,120,148,300,325,286
234,502085,"Robertson, David",1060,22.1,0.167,0.095,0.194,0.262,0.266,0.267,0.177,7,42,84.3,14.5,2651,83.9,84.36,47,123,111,0.5,6.57,108,150,115,152,296,324,292
229,612434,"Castro, Miguel",522,43.9,0.189,0.113,0.281,0.302,0.261,0.252,0.193,10,53,84.1,14,2821,85.8,85.61,42,105,124,-0.2,6.45,109,153,121,149,300,327,286
227,666159,"Manning, Matt",990,22.9,0.24,0.18,0.278,0.42,0.295,0.321,0.254,12,50,88.2,20,2176,83.7,84.23,39,109,118,0.5,6.77,107,157,116,145,301,331,291
